X1,Partner Segmentation,Company Status,Company Size,company_ID,industry,date_became_partner,company_location
42,Hiring Partner,Partner,NA,company_42,Finance,21/05/2019,Carhuamayo
43,Hiring Partner,Partner,Micro (0-14),company_43,n/a,12/03/2016,Amnat Charoen
44,Hiring Partner,Partner,Micro (0-14),company_44,n/a,26/02/2016,Indralayang
45,Hiring Partner,Partner,Micro (0-14),company_45,Capital Goods,15/03/2019,Tambaksari
46,Influencer,Non Partner,Micro (0-14),company_46,Consumer Services,06/01/2019,Kuchurhan
47,Hiring Partner,Partner,Micro (0-14),company_47,n/a,09/09/2017,Kesambilerenkrajan
48,Hiring Partner,Partner,Medium (50-249),company_48,Consumer Services,11/01/2019,Shimada
49,Hiring Partner,Partner,Micro (0-14),company_49,Consumer Services,25/05/2017,Helong
50,Hiring Partner,Partner,Large (250+),company_50,Health Care,31/03/2016,Habry
51,Hiring Partner,Partner,Small (15-49),company_51,Consumer Services,21/04/2017,Daijiaba
52,Hiring Partner,Partner,Micro (0-14),company_52,Finance,10/09/2016,Stara Pazova
53,Hiring Partner,Partner,Large (250+),company_53,n/a,28/06/2017,Misheronskiy
54,Hiring Partner,Partner,Micro (0-14),company_54,n/a,25/10/2018,Tatou
55,Hiring & Training,Partner,Large (250+),company_55,Transportation,14/02/2018,Dehui
56,Hiring Partner,Partner,Large (250+),company_56,n/a,10/07/2019,Wangjing
57,Hiring Partner,Partner,Large (250+),company_57,Finance,19/10/2017,Cabiguan
58,Hiring Partner,Partner,Large (250+),company_58,Finance,22/05/2019,Johanneshov
59,Hiring Partner,Partner,Small (15-49),company_59,Technology,22/06/2018,Masingbi
60,Hiring Partner,Partner,Small (15-49),company_60,n/a,17/06/2018,Niort
61,Hiring Partner,Partner,Small (15-49),company_61,Health Care,03/06/2017,Qusar
62,Hiring Partner,Partner,Large (250+),company_62,Basic Industries,15/07/2019,Xiaochengzi
63,Hiring Partner,Partner,Small (15-49),company_63,Capital Goods,06/07/2019,Hyattsville
64,Hiring Partner,Partner,Small (15-49),company_64,Finance,24/08/2016,Caujul
65,Hiring Partner,Partner,Micro (0-14),company_65,Technology,30/12/2017,Vista Hermosa
66,Hiring Partner,Partner,Large (250+),company_66,Consumer Services,22/09/2017,Strážnice
67,Hiring Partner,Partner,Medium (50-249),company_67,Health Care,01/11/2016,Barbosa
68,Hiring Partner,Partner,Micro (0-14),company_68,Basic Industries,12/12/2016,Shchigry
69,Hiring Partner,Partner,Micro (0-14),company_69,Capital Goods,12/07/2019,Monaragala
70,Hiring Partner,Partner,Micro (0-14),company_70,Capital Goods,18/10/2018,Malgobek
71,Hiring Partner,Partner,Large (250+),company_71,Finance,10/05/2018,Rato
72,Hiring Partner,Partner,Small (15-49),company_72,Finance,23/07/2017,Tenancingo
73,Hiring Partner,Partner,Micro (0-14),company_73,n/a,09/06/2016,Shuidong
74,Hiring Partner,Partner,Large (250+),company_74,Energy,28/12/2018,Yako
75,Hiring Partner,Partner,Small (15-49),company_75,n/a,21/01/2018,Privlaka
76,Hiring Partner,Partner,Medium (50-249),company_76,Finance,05/09/2016,Jiangtian
77,Hiring Partner,Partner,Small (15-49),company_77,Consumer Durables,07/11/2018,Amboise
78,Hiring Partner,Non Partner,Small (15-49),company_78,Energy,24/05/2017,Kolmården
79,Hiring Partner,Partner,Medium (50-249),company_79,n/a,04/05/2019,Osvaldo Cruz
80,Hiring & Training,Partner,Large (250+),company_80,Finance,07/03/2016,Changjiang
81,Hiring Partner,Partner,Micro (0-14),company_81,n/a,29/11/2018,Changtang
82,Hiring Partner,Partner,Large (250+),company_82,Finance,30/10/2016,Xinshi
83,Hiring Partner,Partner,Micro (0-14),company_83,Technology,11/08/2018,Oslo
84,Hiring Partner,Partner,Medium (50-249),company_84,Technology,01/09/2018,Cholet
85,Hiring Partner,Non Partner,Micro (0-14),company_85,n/a,15/03/2016,Raychikhinsk
86,Hiring Partner,Partner,Micro (0-14),company_86,Consumer Non-Durables,11/05/2019,Songshi
87,Hiring Partner,Partner,Small (15-49),company_87,n/a,19/10/2017,Samut Songkhram
88,Hiring Partner,Partner,Large (250+),company_88,Health Care,17/10/2018,Dapdapan
89,Hiring Partner,Non Partner,Micro (0-14),company_89,Capital Goods,06/08/2019,Malaryta
90,Hiring Partner,Partner,Micro (0-14),company_90,Health Care,26/01/2018,Znamenskoye
91,Hiring Partner,Partner,Micro (0-14),company_91,Finance,31/10/2017,Vårby
92,Hiring Partner,Partner,Medium (50-249),company_92,Public Utilities,05/03/2019,Malinao
93,Hiring Partner,Partner,Micro (0-14),company_93,Basic Industries,19/05/2017,Chilliwack
94,Hiring Partner,Partner,Micro (0-14),company_94,n/a,25/09/2016,Vihāri
95,Hiring Partner,Partner,Medium (50-249),company_95,n/a,09/03/2016,Misawa
96,Hiring Partner,Partner,Small (15-49),company_96,Basic Industries,08/07/2019,Ash Sharyah
97,Hiring Partner,Partner,Micro (0-14),company_97,Energy,16/03/2016,Tongkiling
98,Hiring Partner,Partner,Micro (0-14),company_98,Finance,22/11/2016,Cikadu
99,Hiring Partner,Partner,Micro (0-14),company_99,n/a,27/07/2018,Rosmalen
100,Hiring Partner,Partner,Large (250+),company_100,Finance,11/05/2016,Sanquan
101,Hiring Partner,Partner,Small (15-49),company_101,n/a,19/07/2019,Itinga
102,Hiring Partner,Partner,Micro (0-14),company_102,Public Utilities,09/06/2017,Zoetermeer
103,Hiring Partner,Partner,Micro (0-14),company_103,Miscellaneous,17/02/2019,Eleftheroúpolis
104,Channel Partner / Advocate,Partner,Large (250+),company_104,n/a,12/10/2018,Vila Verde
105,Hiring Partner,Partner,Micro (0-14),company_105,n/a,27/02/2017,Nanzhang Chengguanzhen
106,Hiring Partner,Partner,Micro (0-14),company_106,Energy,20/02/2018,Kukoboy
107,Hiring Partner,Partner,Micro (0-14),company_107,n/a,28/03/2017,Goma
108,Hiring Partner,Partner,Micro (0-14),company_108,Consumer Services,08/07/2019,Adelaide Mail Centre
109,Hiring Partner,Partner,Micro (0-14),company_109,n/a,21/06/2019,Baisha
110,Hiring Partner,Partner,Micro (0-14),company_110,Basic Industries,22/05/2017,Pulilan
111,Hiring Partner,Partner,Micro (0-14),company_111,Consumer Services,31/05/2016,Refojos de Riba de Ave
112,Hiring Partner,Partner,Small (15-49),company_112,Public Utilities,18/04/2018,Youguzhuang
113,Hiring Partner,Partner,Small (15-49),company_113,Finance,22/02/2018,Pasarkolot
114,Hiring Partner,Partner,Small (15-49),company_114,n/a,22/02/2017,Gobernador Ingeniero Valentín Virasoro
115,Hiring Partner,Partner,Micro (0-14),company_115,Technology,11/08/2017,Chuncheon
116,Hiring Partner,Partner,Micro (0-14),company_116,Consumer Services,16/07/2017,Normandin
117,Hiring Partner,Partner,Small (15-49),company_117,n/a,08/02/2019,Huanglong
118,Hiring Partner,Partner,Micro (0-14),company_118,Consumer Non-Durables,06/04/2019,Newport Beach
119,Hiring Partner,Partner,Medium (50-249),company_119,Technology,18/03/2019,Humpolec
120,Hiring Partner,Partner,Micro (0-14),company_120,Capital Goods,28/01/2019,Līgatne
121,Hiring Partner,Partner,Large (250+),company_121,n/a,14/10/2017,Ipameri
122,Hiring Partner,Partner,Medium (50-249),company_122,Consumer Services,02/04/2018,Puyung
123,Hiring Partner,Partner,Medium (50-249),company_123,n/a,25/03/2019,Pandanrejokrajan
124,Hiring Partner,Partner,Large (250+),company_124,Technology,13/07/2018,Konče
125,Hiring Partner,Partner,Small (15-49),company_125,Consumer Non-Durables,04/10/2016,Stockholm
126,Hiring Partner,Partner,Micro (0-14),company_126,n/a,04/10/2017,Krajan
127,Hiring Partner,Partner,Small (15-49),company_127,Finance,23/05/2017,Huacaschuque
128,Hiring Partner,Partner,Medium (50-249),company_128,n/a,17/12/2016,Nové Město nad Metují
129,Hiring Partner,Partner,Small (15-49),company_129,n/a,19/08/2016,Grodków
130,Hiring Partner,Partner,Small (15-49),company_130,Consumer Durables,12/02/2017,Buguruslan
131,Hiring Partner,Partner,Large (250+),company_131,n/a,07/07/2016,Velké Bílovice
132,Hiring Partner,Partner,Large (250+),company_132,Basic Industries,06/07/2018,Voznesenskaya
133,Hiring Partner,Partner,Micro (0-14),company_133,Finance,20/07/2019,Villa Gesell
134,Hiring Partner,Partner,Small (15-49),company_134,Technology,14/07/2016,Mulyo
135,Hiring Partner,Partner,Micro (0-14),company_135,Health Care,19/12/2018,Jiangshan
136,Hiring Partner,Partner,Micro (0-14),company_136,Health Care,21/10/2017,Laranganglintong
137,Hiring Partner,Partner,Micro (0-14),company_137,Finance,02/08/2018,Caen
138,Hiring Partner,Partner,Micro (0-14),company_138,Energy,11/01/2019,Siem Reap
139,Hiring Partner,Partner,Micro (0-14),company_139,Technology,02/03/2016,Hevlín
140,Hiring Partner,Partner,Micro (0-14),company_140,Public Utilities,03/02/2018,Shatoujiao
141,NA,Non Partner,NA,company_141,Health Care,29/09/2018,Vodňany
142,Hiring Partner,Partner,Micro (0-14),company_142,n/a,14/06/2016,Huddinge
143,Hiring Partner,Partner,Micro (0-14),company_143,n/a,04/05/2016,Magapit
144,Hiring Partner,Partner,Micro (0-14),company_144,Consumer Non-Durables,01/07/2018,Kasama
145,Hiring Partner,Partner,Medium (50-249),company_145,Consumer Services,06/10/2016,Jablonné nad Orlicí
146,Hiring Partner,Partner,Micro (0-14),company_146,Health Care,03/10/2017,San Jose
147,Hiring Partner,Partner,Large (250+),company_147,Technology,10/04/2016,Jeziorzany
148,Hiring Partner,Partner,Small (15-49),company_148,Consumer Durables,24/12/2016,Sevilla
149,Hiring Partner,Partner,Medium (50-249),company_149,Consumer Non-Durables,27/07/2018,Kompaniyivka
150,Hiring Partner,Partner,Micro (0-14),company_150,Technology,06/02/2016,Shimen
151,Hiring Partner,Partner,Large (250+),company_151,Basic Industries,15/07/2018,Alta Gracia
152,NA,Non Partner,NA,company_152,Consumer Services,26/11/2018,Jiangjiazui
153,Hiring Partner,Partner,Micro (0-14),company_153,Energy,23/04/2016,Xiawuqi
154,NA,Non Partner,NA,company_154,Basic Industries,02/05/2016,Berón de Astrada
155,NA,Non Partner,NA,company_155,Basic Industries,10/05/2018,Morje
156,Hiring Partner,Partner,Micro (0-14),company_156,Consumer Services,12/02/2018,Dasht-e Qal‘ah
157,NA,Non Partner,NA,company_157,Finance,02/04/2019,Milán
158,NA,Non Partner,NA,company_158,Consumer Services,20/02/2018,Meliau
159,NA,Non Partner,NA,company_159,Technology,02/02/2016,El Guapinol
160,NA,Non Partner,NA,company_160,Energy,30/11/2016,Železniki
161,NA,Non Partner,NA,company_161,Finance,29/07/2018,Kedungtulup
162,Hiring Partner,Partner,Micro (0-14),company_162,Technology,01/09/2017,Ituzaingó
163,NA,Non Partner,NA,company_163,Energy,02/04/2019,Kwikila
164,Hiring Partner,Partner,Micro (0-14),company_164,n/a,26/05/2018,Slatina
165,Hiring Partner,Partner,Large (250+),company_165,Finance,07/01/2017,Taitung City
166,Hiring Partner,Partner,Medium (50-249),company_166,n/a,12/09/2018,Živinice
167,Hiring Partner,Partner,Micro (0-14),company_167,Consumer Durables,26/02/2016,Foumbouni
168,NA,Non Partner,NA,company_168,Finance,31/05/2018,Zhaobei
169,NA,Non Partner,NA,company_169,Public Utilities,23/02/2018,Aswan
170,NA,Non Partner,NA,company_170,Consumer Services,22/01/2019,Borzęcin
171,NA,Non Partner,NA,company_171,Technology,18/02/2017,Puro Pinget
172,NA,Non Partner,NA,company_172,Finance,16/04/2019,Rakičan
173,NA,Non Partner,NA,company_173,Basic Industries,25/12/2018,Boracéia
174,NA,Non Partner,NA,company_174,Capital Goods,27/09/2019,La Virgen
175,NA,Non Partner,NA,company_175,Capital Goods,29/09/2019,Vol’sk
176,NA,Non Partner,NA,company_176,Capital Goods,01/03/2019,Ōgaki
177,NA,Non Partner,NA,company_177,Finance,25/06/2019,Skerries
178,NA,Non Partner,NA,company_178,Capital Goods,24/05/2019,Yanglin
179,NA,Non Partner,Large (250+),company_179,Basic Industries,01/04/2019,Berlin
180,NA,Non Partner,NA,company_180,Technology,07/02/2018,Danzi
181,NA,Non Partner,NA,company_181,n/a,26/05/2018,Joconal
182,NA,Non Partner,NA,company_182,n/a,29/06/2017,Dŭstí
183,NA,Non Partner,NA,company_183,n/a,10/09/2017,Houten
184,NA,Non Partner,NA,company_184,Technology,14/04/2019,Taosha
185,NA,Non Partner,NA,company_185,Technology,22/01/2016,Kalisangkrah Lor
186,Hiring Partner,Partner,Small (15-49),company_186,Miscellaneous,26/04/2017,Hankazi
187,Hiring Partner,Partner,Medium (50-249),company_187,Miscellaneous,17/01/2017,San-Pédro
188,Hiring Partner,Partner,Micro (0-14),company_188,Miscellaneous,02/06/2019,Sampués
189,Hiring Partner,Partner,Medium (50-249),company_189,n/a,12/10/2018,Trang
190,Hiring Partner,Partner,NA,company_190,Consumer Services,17/10/2017,Dul’durga
191,Hiring Partner,Partner,Medium (50-249),company_191,Health Care,10/07/2016,Dongzhaogezhuang
192,Hiring Partner,Partner,Micro (0-14),company_192,n/a,04/06/2017,Russeifa
193,Hiring Partner,Partner,Micro (0-14),company_193,Capital Goods,30/01/2016,Olivia
194,Hiring Partner,Partner,Micro (0-14),company_194,n/a,06/11/2016,Shah Alam
195,Hiring Partner,Partner,Micro (0-14),company_195,n/a,21/12/2018,Petropavlovsk
196,Hiring Partner,Partner,Small (15-49),company_196,Health Care,21/09/2016,Columbus
197,Hiring Partner,Partner,Micro (0-14),company_197,Health Care,06/10/2017,Palca
198,Hiring Partner,Partner,Micro (0-14),company_198,Transportation,02/08/2016,Granard
199,Hiring Partner,Partner,Micro (0-14),company_199,n/a,14/01/2017,Baolong
200,NA,Non Partner,NA,company_200,Health Care,28/05/2019,Talondang
201,NA,Non Partner,NA,company_201,Consumer Services,01/04/2017,Chernukha
202,NA,Non Partner,NA,company_202,Transportation,11/09/2019,George Town
203,NA,Non Partner,NA,company_203,Basic Industries,22/09/2018,San Fernando
204,NA,Non Partner,NA,company_204,Consumer Services,17/09/2018,Nāgarpur
205,NA,Non Partner,Micro (0-14),company_205,Health Care,29/09/2017,Ransang
206,NA,Non Partner,NA,company_206,Finance,25/12/2017,Mosul
207,NA,Non Partner,NA,company_207,Consumer Services,02/08/2019,Bago
208,NA,Non Partner,NA,company_208,Technology,15/06/2016,Fāryāb
209,NA,Non Partner,NA,company_209,Technology,31/05/2016,Glotovka
210,Hiring Partner,Partner,Small (15-49),company_210,Health Care,09/09/2019,Bangan-Oda
211,NA,Non Partner,NA,company_211,n/a,15/11/2018,Lebedyn
212,NA,Non Partner,NA,company_212,n/a,09/12/2016,Ülken
213,NA,Non Partner,NA,company_213,Energy,12/01/2019,Meitang
214,NA,Non Partner,NA,company_214,Finance,29/08/2019,Ogwashi-Uku
215,NA,Non Partner,NA,company_215,Capital Goods,11/07/2016,Neftegorsk
216,NA,Non Partner,NA,company_216,n/a,04/03/2018,Gelemso
217,NA,Non Partner,NA,company_217,Finance,05/11/2016,Libertad
218,NA,Non Partner,Large (250+),company_218,Capital Goods,22/07/2019,Tubod
219,NA,Non Partner,NA,company_219,Basic Industries,22/09/2018,Pęczniew
220,Hiring Partner,Partner,Large (250+),company_220,n/a,27/01/2018,Grande Prairie
221,NA,Non Partner,NA,company_221,Basic Industries,13/10/2017,Niimi
222,NA,Non Partner,NA,company_222,Health Care,15/07/2018,Progreso
223,NA,Non Partner,NA,company_223,Finance,01/08/2017,Klayusiwalan
224,NA,Non Partner,NA,company_224,Consumer Non-Durables,03/07/2019,’Unābah
225,NA,Non Partner,NA,company_225,n/a,18/09/2019,Taoshan
226,NA,Non Partner,NA,company_226,n/a,12/07/2016,Candoso
227,NA,Non Partner,NA,company_227,Finance,18/06/2016,Jenang Selatan
228,NA,Non Partner,NA,company_228,Finance,04/12/2016,Sigli
229,NA,Non Partner,NA,company_229,Finance,10/05/2016,Teseney
230,NA,Non Partner,NA,company_230,Technology,20/10/2017,Jieshipu
231,NA,Non Partner,NA,company_231,Transportation,23/01/2019,Petushki
232,Channel Partner / Advocate,Non Partner,NA,company_232,Finance,10/02/2017,Huaitu
233,NA,Non Partner,NA,company_233,n/a,02/03/2016,San Juan
234,NA,Non Partner,NA,company_234,Consumer Services,15/12/2018,Huangwei
235,Hiring Partner,Partner,Small (15-49),company_235,Finance,04/09/2016,Varkaus
236,NA,Non Partner,NA,company_236,Health Care,30/01/2016,São Paulo de Olivença
237,Hiring Partner,Partner,Large (250+),company_237,Public Utilities,06/08/2019,Dushanbe
238,NA,Non Partner,NA,company_238,n/a,15/10/2017,Sakai-nakajima
239,NA,Non Partner,NA,company_239,Health Care,29/10/2016,Štítná nad Vláří
240,NA,Non Partner,NA,company_240,n/a,04/06/2019,Carregal
241,Hiring Partner,Non Partner,NA,company_241,Technology,06/04/2018,Beltinci
242,NA,Non Partner,NA,company_242,Finance,21/01/2018,Mariestad
243,Training Partner,Partner,Large (250+),company_243,Health Care,10/06/2017,Liverpool
244,NA,Non Partner,NA,company_244,n/a,11/10/2016,Badāmā
245,NA,Non Partner,NA,company_245,Finance,05/10/2017,Avon
246,NA,Non Partner,NA,company_246,Capital Goods,15/08/2018,Xingong
247,NA,Non Partner,NA,company_247,Consumer Services,19/03/2017,Toubao
248,Hiring Partner,Partner,Medium (50-249),company_248,n/a,07/03/2019,Rio Claro
249,NA,Non Partner,NA,company_249,n/a,31/08/2018,Bouna
250,NA,Non Partner,NA,company_250,n/a,11/07/2019,Béreldange
251,NA,Non Partner,NA,company_251,Finance,15/12/2018,Tatarsk
252,NA,Non Partner,NA,company_252,Capital Goods,04/02/2019,Villach
253,NA,Non Partner,NA,company_253,Capital Goods,18/12/2016,Moussoro
254,NA,Non Partner,NA,company_254,Consumer Services,11/12/2018,Lyon
255,Hiring Partner,Partner,Micro (0-14),company_255,Technology,14/04/2019,Paraty
256,NA,Non Partner,NA,company_256,n/a,07/04/2018,Vista Alegre
257,NA,Non Partner,NA,company_257,Finance,24/06/2016,Hāfizābād
258,NA,Non Partner,NA,company_258,Energy,29/03/2016,Toride
259,NA,Non Partner,NA,company_259,Health Care,24/07/2017,Lajkovac
260,NA,Non Partner,NA,company_260,Transportation,09/10/2017,Bulumulyo
261,NA,Non Partner,NA,company_261,Health Care,12/11/2018,Şānūr
262,NA,Non Partner,NA,company_262,Consumer Non-Durables,04/10/2018,Ujae
263,NA,Non Partner,NA,company_263,n/a,02/06/2017,Biaoshan
264,NA,Non Partner,NA,company_264,n/a,28/07/2019,Dalongzhan
265,NA,Non Partner,NA,company_265,Consumer Services,21/02/2016,Quinchía
266,Hiring Partner,Partner,Large (250+),company_266,Consumer Services,12/08/2019,Douala
267,Hiring Partner,Non Partner,Medium (50-249),company_267,n/a,18/02/2016,Pithári
268,NA,Non Partner,NA,company_268,Consumer Services,08/05/2018,Nyíregyháza
269,NA,Non Partner,NA,company_269,Finance,28/07/2018,Huangpo
270,NA,Non Partner,NA,company_270,Basic Industries,21/11/2017,Hovås
271,NA,Non Partner,NA,company_271,Energy,15/04/2016,Tanxi
272,NA,Non Partner,NA,company_272,Technology,09/11/2016,New York City
273,NA,Non Partner,NA,company_273,Finance,07/04/2018,Thatta
274,NA,Non Partner,NA,company_274,Health Care,09/09/2019,Hal’shany
275,NA,Non Partner,NA,company_275,n/a,11/10/2018,Flin Flon
276,Hiring Partner,Partner,Small (15-49),company_276,Technology,21/08/2018,Madona
277,NA,Non Partner,NA,company_277,Health Care,13/12/2018,Arnelas
278,NA,Non Partner,NA,company_278,Finance,31/05/2018,Veliki Preslav
279,Hiring Partner,Non Partner,NA,company_279,Public Utilities,22/01/2019,Adelaide Mail Centre
280,NA,Non Partner,NA,company_280,Technology,13/03/2017,Sendang
281,NA,Non Partner,NA,company_281,Consumer Non-Durables,27/08/2017,Umuarama
282,Hiring Partner,Partner,Medium (50-249),company_282,Consumer Services,26/01/2017,Jianjiang
283,NA,Non Partner,NA,company_283,n/a,19/12/2016,Gorgān
284,NA,Non Partner,NA,company_284,Consumer Services,16/12/2016,Steinkjer
285,NA,Non Partner,NA,company_285,Public Utilities,20/03/2018,Maddarulug Norte
286,NA,Non Partner,NA,company_286,Finance,12/04/2018,Granica
287,NA,Non Partner,NA,company_287,Health Care,28/09/2016,Oster
288,NA,Non Partner,NA,company_288,n/a,01/02/2019,Göteborg
289,NA,Non Partner,NA,company_289,Public Utilities,10/08/2018,Cruzeiro do Oeste
290,NA,Non Partner,NA,company_290,Finance,03/06/2019,Raci Kulon
291,NA,Non Partner,NA,company_291,Finance,14/01/2018,Šmarje pri Jelšah
292,NA,Non Partner,NA,company_292,Finance,17/02/2018,Varpaisjärvi
293,NA,Non Partner,NA,company_293,n/a,27/02/2016,Örebro
294,NA,Non Partner,NA,company_294,Transportation,11/05/2017,Rodez
295,Hiring Partner,Partner,Micro (0-14),company_295,Public Utilities,11/01/2019,Sarandi
296,NA,Non Partner,NA,company_296,Finance,22/12/2018,Jamundí
297,NA,Non Partner,NA,company_297,Basic Industries,29/10/2017,Beishan
298,NA,Non Partner,NA,company_298,Energy,09/04/2016,Pukou
299,NA,Non Partner,NA,company_299,Basic Industries,27/04/2018,Loukhi
300,Hiring Partner,Partner,Small (15-49),company_300,n/a,23/11/2018,Ocoruro
301,NA,Non Partner,NA,company_301,Consumer Services,30/09/2017,Bitola
302,NA,Non Partner,NA,company_302,Finance,30/09/2017,Mora
303,NA,Non Partner,NA,company_303,Energy,17/02/2019,Colombia
304,NA,Non Partner,NA,company_304,n/a,23/03/2019,Kalino
305,NA,Non Partner,NA,company_305,Basic Industries,01/10/2017,Brampton
306,NA,Non Partner,NA,company_306,n/a,01/02/2018,Soljani
307,NA,Non Partner,NA,company_307,Technology,04/07/2017,Marly-le-Roi
308,NA,Non Partner,NA,company_308,Health Care,06/07/2019,Heredia
309,NA,Non Partner,NA,company_309,Health Care,07/08/2016,Cereté
310,NA,Non Partner,NA,company_310,Finance,23/04/2018,Shanshi
311,NA,Non Partner,NA,company_311,Finance,14/01/2019,Caucete
312,Hiring Partner,Partner,Large (250+),company_312,Capital Goods,09/10/2016,Baghlān
313,NA,Non Partner,NA,company_313,Finance,01/02/2017,Inglewood
314,NA,Non Partner,NA,company_314,n/a,12/03/2017,Drochia
315,NA,Non Partner,NA,company_315,Technology,28/06/2017,Blantyre
316,NA,Non Partner,NA,company_316,Consumer Services,16/10/2018,Soissons
317,NA,Non Partner,NA,company_317,Technology,07/02/2019,Xinyuan
318,NA,Non Partner,NA,company_318,Consumer Services,27/09/2019,Piura
319,NA,Non Partner,NA,company_319,n/a,28/06/2018,Conceição da Barra
320,NA,Non Partner,NA,company_320,Consumer Services,28/09/2017,Orléans
321,NA,Non Partner,NA,company_321,n/a,10/03/2018,Salcedo
322,Hiring Partner,Partner,Small (15-49),company_322,Consumer Services,27/06/2017,Santa María del Real
323,Hiring Partner,Partner,Large (250+),company_323,n/a,11/06/2019,Shuibian
324,NA,Non Partner,NA,company_324,Energy,10/03/2019,Azogues
325,Hiring Partner,Non Partner,NA,company_325,Finance,30/04/2016,Dumlan
326,NA,Non Partner,NA,company_326,n/a,05/06/2018,Kirove
327,NA,Non Partner,NA,company_327,Consumer Services,11/07/2016,Apodi
328,NA,Non Partner,NA,company_328,Consumer Services,06/03/2017,Polomolok
329,NA,Non Partner,Micro (0-14),company_329,Health Care,04/08/2016,Töreboda
330,NA,Non Partner,NA,company_330,n/a,03/06/2019,Tucurú
331,NA,Non Partner,NA,company_331,Consumer Services,28/01/2016,Likiep
332,NA,Non Partner,NA,company_332,n/a,13/02/2017,Momil
333,NA,Non Partner,NA,company_333,Technology,22/04/2017,Laâyoune / El Aaiún
334,NA,Non Partner,NA,company_334,n/a,25/03/2019,Quimbaya
335,NA,Non Partner,NA,company_335,Public Utilities,06/08/2016,Banfora
336,NA,Non Partner,NA,company_336,n/a,09/11/2017,Reguenga
337,NA,Non Partner,NA,company_337,n/a,04/03/2019,Clearwater
338,NA,Non Partner,NA,company_338,Finance,04/01/2018,Njivice
339,NA,Non Partner,NA,company_339,Capital Goods,06/06/2017,Ankazondandy
340,NA,Non Partner,NA,company_340,Finance,27/02/2016,General Alvear
